name_jp,name_en
東アジア,East Asia
中央アジア,Central Asia
南アジア,South Asia
東南アジア,South East Asia
インド洋地域,British Indian Ocean Territory
北アメリカ,North America
中央アメリカ,Middle America
南アメリカ,South America
西ヨーロッパ,Western Europe
北ヨーロッパ,Northern Europe
東ヨーロッパ,Eastern Europe
地中海地域,Mediterranean Region
中東,Middle East
オセアニア,Oceania
北アフリカ,North Africa
中央アフリカ,Middle Africa
東アフリカ,East Africa
西アフリカ,West Africa
南アフリカ,South Africa
ロシア,Russia
南極,Antarctica
